Date,Equity,Peak,Drawdown
2000-03-02,85.3957754283,113.229781664,0.24581877512
2000-03-01,85.3957754283,113.229781664,0.24581877512
2000-02-29,85.3957754283,113.229781664,0.24581877512
2000-02-28,85.3957754283,113.229781664,0.24581877512
2000-02-25,85.3957754283,113.229781664,0.24581877512
2000-02-24,85.3957754283,113.229781664,0.24581877512
2000-02-23,85.3957754283,113.229781664,0.24581877512
2000-02-22,85.3957754283,113.229781664,0.24581877512
2000-02-21,85.3957754283,113.229781664,0.24581877512
2000-02-18,85.3957754283,113.229781664,0.24581877512
2000-02-17,85.3957754283,113.229781664,0.24581877512
2000-02-16,85.3957754283,113.229781664,0.24581877512
2000-02-15,85.3957754283,113.229781664,0.24581877512
2000-02-14,85.3957754283,113.229781664,0.24581877512
2000-02-11,85.3957754283,113.229781664,0.24581877512
2000-02-10,85.3957754283,113.229781664,0.24581877512
2000-02-09,85.3957754283,113.229781664,0.24581877512
2000-02-08,85.3957754283,113.229781664,0.24581877512
2000-02-07,85.3957754283,113.229781664,0.24581877512
2000-02-04,85.3957754283,113.229781664,0.24581877512
2000-02-03,85.3957754283,113.229781664,0.24581877512
2000-02-02,85.3957754283,113.229781664,0.24581877512
2000-02-01,85.3957754283,113.229781664,0.24581877512
2000-01-31,85.3957754283,113.229781664,0.24581877512
2000-01-28,85.3957754283,113.229781664,0.24581877512
2000-01-27,85.3957754283,113.229781664,0.24581877512
2000-01-26,85.3957754283,113.229781664,0.24581877512
2000-01-25,85.3957754283,113.229781664,0.24581877512
2000-01-24,85.3957754283,113.229781664,0.24581877512
2000-01-21,85.3957754283,113.229781664,0.24581877512
2000-01-20,85.3957754283,113.229781664,0.24581877512
2000-01-19,85.3957754283,113.229781664,0.24581877512
2000-01-18,85.3957754283,113.229781664,0.24581877512
2000-01-17,85.3957754283,113.229781664,0.24581877512
2000-01-14,85.3957754283,113.229781664,0.24581877512
2000-01-13,85.3957754283,113.229781664,0.24581877512
2000-01-12,85.3957754283,113.229781664,0.24581877512
2000-01-11,85.3957754283,113.229781664,0.24581877512
2000-01-10,85.3957754283,113.229781664,0.24581877512
2000-01-07,85.3957754283,113.229781664,0.24581877512
2000-01-06,85.3957754283,113.229781664,0.24581877512
2000-01-05,85.3957754283,113.229781664,0.24581877512
2000-01-04,87.0551128538,113.229781664,0.23116417276
1999-12-30,90.5475608368,113.229781664,0.200320273464
1999-12-29,89.3154701342,113.229781664,0.211201604192
1999-12-24,88.9313400531,113.229781664,0.214594086943
1999-12-23,88.5432902772,113.229781664,0.218021186865
1999-12-22,87.9135259944,113.229781664,0.223583012327
1999-12-21,87.6378408001,113.229781664,0.226017753349
1999-12-20,87.9474966819,113.229781664,0.223282996846
1999-12-17,87.8612633983,113.229781664,0.224044574607
1999-12-16,87.1740102599,113.229781664,0.230114118575
1999-12-15,86.6749024673,113.229781664,0.234522038341
1999-12-14,87.5672862954,113.229781664,0.226640862426
1999-12-13,87.679650877,113.229781664,0.225648503525
1999-12-10,88.0559415687,113.229781664,0.222325255117
1999-12-09,87.2889879713,113.229781664,0.229098681561
1999-12-08,86.4867571215,113.229781664,0.236183662544
1999-12-07,87.0289815558,113.229781664,0.2313949539
1999-12-06,87.4614545383,113.229781664,0.227575526041
1999-12-03,88.0912188211,113.229781664,0.222013700578
1999-12-02,86.9349088828,113.229781664,0.232225766002
1999-12-01,86.8343033854,113.229781664,0.233114273389
1999-11-30,86.1966997132,113.229781664,0.238745333194
1999-11-29,87.439242935,113.229781664,0.227771690009
1999-11-26,87.3412505674,113.229781664,0.228637119282
1999-11-25,87.3151192693,113.229781664,0.228867900422
1999-11-24,85.7341757379,113.229781664,0.242830159363
1999-11-23,85.373563825,113.229781664,0.246014939088
1999-11-22,84.1689109854,113.229781664,0.256653949619
1999-11-19,84.6954566409,113.229781664,0.252003709658
1999-11-18,85.5904535987,113.229781664,0.24409945563
1999-11-17,85.6544752789,113.229781664,0.243534041838
1999-11-16,86.0111674971,113.229781664,0.240383879284
1999-11-15,85.3657244356,113.229781664,0.24608417343
1999-11-12,85.0782801571,113.229781664,0.248622765965
1999-11-11,85.5982929881,113.229781664,0.244030221288
1999-11-10,84.2342392305,113.229781664,0.256076996771
1999-11-09,84.0839842667,113.229781664,0.257403988323
1999-11-08,83.2843665467,113.229781664,0.264465891192
1999-11-05,83.0531045591,113.229781664,0.266508304277
1999-11-04,82.7225436389,113.229781664,0.269427685692
