Date,Position,Equity,Debt
2008-10-16,1,348.470354661,0.0
2008-10-15,1,368.161718256,0.0
2008-10-14,1,396.552657702,0.0
2008-10-13,1,384.162079235,0.0
2008-10-10,1,354.850645249,0.0
2008-10-09,1,389.296994856,0.0
2008-10-08,1,394.070932226,0.0
2008-10-07,1,415.594260446,0.0
2008-10-06,1,414.150347442,0.0
2008-10-03,1,449.444995939,0.0
2008-10-02,1,439.518094035,0.0
2008-10-01,1,447.57693349,0.0
2008-09-30,1,442.423968956,0.0
2008-09-29,1,434.870499052,0.0
2008-09-26,1,459.20945763,0.0
2008-09-25,1,469.00099269,0.0
2008-09-24,1,459.850194026,0.0
2008-09-23,1,463.505098818,0.0
2008-09-22,1,472.547604007,0.0
2008-09-19,1,479.315946214,0.0
2008-09-18,1,440.393466294,0.0
2008-09-17,1,443.317390127,0.0
2008-09-16,1,453.533074632,0.0
2008-09-15,1,469.650753542,0.0
2008-09-12,1,488.82772313,0.0
2008-09-11,1,479.95668261,0.0
2008-09-10,1,484.27037271,0.0
2008-09-09,1,488.728454111,0.0
2008-09-08,1,491.498962188,0.0
2008-09-05,1,472.944680083,0.0
2008-09-04,1,483.900370003,0.0
2008-09-03,1,496.318021839,0.0
2008-09-02,1,507.237613934,0.0
2008-09-01,1,505.62223626,0.0
2008-08-29,1,508.672502482,0.0
2008-08-28,1,505.47784496,0.0
2008-08-27,1,498.880967422,0.0
2008-08-26,1,493.700929519,0.0
2008-08-22,1,496.85046476,0.0
2008-08-21,1,484.631350961,0.0
2008-08-20,1,484.775742262,0.0
2008-08-19,1,480.137171735,0.0
2008-08-18,1,491.850915982,0.0
2008-08-15,1,492.266040971,0.0
2008-08-14,1,496.110459345,0.0
2008-08-13,1,491.706524682,0.0
2008-08-12,1,499.458532623,0.0
2008-08-11,1,500.117317932,0.0
2008-08-08,1,495.37045393,0.0
2008-08-07,1,494.314592546,0.0
2008-08-06,1,495.090695786,0.0
2008-08-05,1,492.238967602,0.0
2008-08-04,1,480.119122823,0.0
2008-08-01,1,483.232560238,0.0
2008-07-31,1,488.394549228,0.0
2008-07-30,1,489.188701381,0.0
2008-07-29,1,480.02887826,0.0
2008-07-28,1,479.433264146,0.0
2008-07-25,1,483.043046656,0.0
2008-07-24,1,483.918418915,0.0
2008-07-23,1,491.823842613,0.0
2008-07-22,1,484.080859128,0.0
2008-07-21,1,487.708690551,0.0
2008-07-18,1,485.19086725,0.0
2008-07-17,1,477.059832145,0.0
2008-07-16,1,464.813644978,0.0
2008-07-15,1,466.735854165,0.0
2008-07-14,1,478.33228048,0.0
2008-07-11,1,474.830791445,0.0
2008-07-10,1,487.934301958,0.0
2008-07-09,1,499.016334266,0.0
2008-07-08,1,490.975543723,0.0
2008-07-07,1,497.491201155,0.0
2008-07-04,1,488.475769335,0.0
2008-07-03,1,494.233372439,0.0
2008-07-02,1,489.694070932,0.0
2008-07-01,1,494.531179496,0.0
2008-06-30,1,507.70688566,0.0
2008-06-27,1,499.043407635,0.0
2008-06-26,1,497.98754625,0.0
2008-06-25,1,511.334717083,0.0
2008-06-24,1,508.501037812,0.0
2008-06-23,1,511.433986102,0.0
2008-06-20,1,507.24663839,0.0
2008-06-19,1,515.152062088,0.0
2008-06-18,1,519.528923382,0.0
2008-06-17,1,529.004602473,0.0
2008-06-16,1,522.931143399,0.0
2008-06-13,1,523.671148813,0.0
2008-06-12,1,522.561140691,0.0
2008-06-11,1,516.496706073,0.0
2008-06-10,1,525.882140601,0.0
2008-06-09,1,530.421442108,0.0
2008-06-06,1,533.056583341,0.0
2008-06-05,1,541.043227146,0.0
2008-06-04,1,538.769064164,0.0
2008-06-03,1,546.674487862,0.0
2008-06-02,1,542.153235268,0.0
2008-05-30,1,546.295460698,0.0
2008-05-29,1,547.613031315,0.0
2008-05-28,1,547.748398159,0.0
2008-05-27,1,546.746683512,0.0
2008-05-23,1,549.34572692,0.0
2008-05-22,1,557.855789189,0.0
2008-05-21,1,559.344824474,0.0
2008-05-20,1,558.758234816,0.0
2008-05-19,1,575.444454472,0.0
2008-05-16,1,568.92879704,0.0
2008-05-15,1,564.190957495,0.0
2008-05-14,1,560.960202148,0.0
2008-05-13,1,560.59019944,0.0
2008-05-12,1,561.375327137,0.0
2008-05-09,1,559.940438589,0.0
2008-05-08,1,565.905604187,0.0
2008-05-07,1,565.021207472,0.0
2008-05-06,1,560.888006498,0.0
2008-05-02,1,560.915079866,0.0
2008-05-01,1,549.34572692,0.0
2008-04-30,1,549.34572692,0.0
2008-04-29,1,549.535240502,0.0
2008-04-28,1,549.625485065,0.0
2008-04-25,1,549.715729627,0.0
2008-04-24,1,546.042775923,0.0
2008-04-23,1,549.011822038,0.0
2008-04-22,1,544.598862919,0.0
2008-04-21,1,546.250338417,0.0
2008-04-18,1,546.566194387,0.0
2008-04-17,1,539.69858316,0.0
2008-04-16,1,545.63667539,0.0
2008-04-15,1,533.065607797,0.0
2008-04-14,1,526.270192221,0.0
2008-04-11,1,532.036819782,0.0
2008-04-10,1,538.31784135,0.0
2008-04-09,1,540.01443913,0.0
2008-04-08,1,540.582979875,0.0
2008-04-07,1,542.802996119,0.0
2008-04-04,1,536.69343922,0.0
2008-04-03,1,531.657792618,0.0
2008-04-02,1,533.877808862,0.0
2008-04-01,1,528.165328039,0.0
2008-03-31,1,514.583521343,0.0
2008-03-28,1,513.753271365,0.0
2008-03-27,1,515.973287609,0.0
2008-03-26,1,510.820323076,0.0
2008-03-25,1,513.410342027,0.0
2008-03-20,1,495.911921307,0.0
2008-03-19,1,500.46024727,0.0
2008-03-18,1,505.892969949,0.0
2008-03-17,1,488.620160635,0.0
2008-03-14,1,508.230304124,0.0
2008-03-13,1,513.708149084,0.0
2008-03-12,1,521.288692356,0.0
2008-03-11,1,513.527659958,0.0
2008-03-10,1,507.995668261,0.0
2008-03-07,1,514.384983305,0.0
2008-03-06,1,520.386246729,0.0
2008-03-05,1,528.246548145,0.0
2008-03-04,1,520.50356466,0.0
2008-03-03,1,525.097012905,0.0
2008-02-29,1,531.026080679,0.0
2008-02-28,1,538.371988088,0.0
2008-02-27,1,548.371085642,0.0
2008-02-26,1,549.354751376,0.0
2008-02-25,1,541.422254309,0.0
2008-02-22,1,531.405107842,0.0
2008-02-21,1,535.348795235,0.0
2008-02-20,1,531.865355112,0.0
2008-02-19,1,538.480281563,0.0
2008-02-15,1,522.299431459,0.0
2008-02-14,1,530.574857865,0.0
2008-02-13,1,530.647053515,0.0
2008-02-12,1,533.345365942,0.0
2008-02-11,1,515.088890894,0.0
2008-02-08,1,521.974551033,0.0
2008-02-07,1,516.568901724,0.0
2008-02-06,1,530.22290407,0.0
2008-02-05,1,529.555094306,0.0
2008-02-04,1,543.831784135,0.0
2008-02-01,1,544.102517823,0.0
2008-01-31,1,530.619980146,0.0
2008-01-30,1,526.784586229,0.0
2008-01-29,1,531.107300785,0.0
2008-01-28,1,522.416749391,0.0
2008-01-25,1,529.645338868,0.0
2008-01-24,1,530.259001895,0.0
2008-01-23,1,506.208825918,0.0
2008-01-22,1,518.012814728,0.0
2008-01-21,1,503.402220016,0.0
2008-01-18,1,532.596336071,0.0
2008-01-17,1,532.659507265,0.0
2008-01-16,1,536.314412057,0.0
2008-01-15,1,543.777637397,0.0
2008-01-14,1,560.933128779,0.0
2008-01-11,1,559.696778269,0.0
2008-01-10,1,561.564840718,0.0
2008-01-09,1,566.077068857,0.0
2008-01-08,1,573.639563216,0.0
2008-01-07,1,571.762476311,0.0
2008-01-04,1,572.917606714,0.0
2008-01-03,1,584.73061998,0.0
2008-01-02,1,579.072285895,0.0
2007-12-31,1,582.700117318,0.0
2007-12-28,1,584.505008573,0.0
2007-12-27,1,586.391119935,0.0
2007-12-24,1,584.721595524,0.0
2007-12-21,1,580.642541287,0.0
2007-12-20,1,572.655897482,0.0
2007-12-19,1,567.141954697,0.0
2007-12-18,1,566.672682971,0.0
2007-12-17,1,566.537316127,0.0
2007-12-14,1,577.294468008,0.0
2007-12-13,1,574.33444635,0.0
2007-12-12,1,591.986282826,0.0
2007-12-11,1,589.919682339,0.0
2007-12-10,1,592.491652378,0.0
2007-12-07,1,591.544084469,0.0
2007-12-06,1,585.290136269,0.0
2007-12-05,1,586.030141684,0.0
2007-12-04,1,569.912462774,0.0
2007-12-03,1,576.355924556,0.0
2007-11-30,1,580.498149986,0.0
2007-11-29,1,572.971753452,0.0
2007-11-28,1,569.100261709,0.0
2007-11-27,1,554.164786572,0.0
2007-11-26,1,557.75652017,0.0
2007-11-23,1,565.120476491,0.0
2007-11-22,1,555.482357188,0.0
2007-11-21,1,547.865716091,0.0
2007-11-20,1,561.907770057,0.0
2007-11-19,1,552.368919773,0.0
2007-11-16,1,567.746593268,0.0
2007-11-15,1,573.919321361,0.0
2007-11-14,1,580.462052161,0.0
2007-11-13,1,574.172006137,0.0
2007-11-12,1,571.961014349,0.0
2007-11-09,1,568.982943778,0.0
2007-11-08,1,575.931775111,0.0
2007-11-07,1,576.220557711,0.0
2007-11-06,1,584.324519448,0.0
2007-11-05,1,583.10621785,0.0
2007-11-02,1,589.351141594,0.0
2007-11-01,1,594.359714827,0.0
2007-10-31,1,606.587853082,0.0
2007-10-30,1,600.938543453,0.0
2007-10-29,1,605.180037903,0.0
2007-10-26,1,601.146105947,0.0
2007-10-25,1,593.475318112,0.0
2007-10-24,1,584.965255843,0.0
2007-10-23,1,587.853081852,0.0
2007-10-22,1,582.916704269,0.0
2007-10-19,1,589.107481274,0.0
2007-10-18,1,596.46241314,0.0
2007-10-17,1,602.626116776,0.0
2007-10-16,1,596.904611497,0.0
2007-10-15,1,599.629997293,0.0
2007-10-12,1,607.409078603,0.0
2007-10-11,1,606.849562314,0.0
2007-10-10,1,598.592184821,0.0
2007-10-09,1,597.003880516,0.0
2007-10-08,1,590.28066059,0.0
2007-10-05,1,595.235087086,0.0
2007-10-04,1,590.91237253,0.0
2007-10-03,1,589.766266582,0.0
2007-10-02,1,586.625755798,0.0
2007-10-01,1,587.149174262,0.0
2007-09-28,1,583.593538489,0.0
2007-09-27,1,585.36233192,0.0
2007-09-26,1,580.543272268,0.0
2007-09-25,1,577.285443552,0.0
